year,province,province_num,day_raindrop,quant_rain,humbidity_perc,temp_max,temp_min,temp_avg,dead,dead_perc,patient
2563,นครพนม,20,112,1297.2,70,40.2,10.9,25.55,0,0,645
2563,นครราชสีมา,21,114,1457,69.2,41.9,14.4,28.15,8,0.11,6991
2563,นครศรีธรรมราช,22,192,3142.1,81.4,38.4,20.5,29.45,4,0.12,3419
2563,นครสวรรค์,23,92,803.8,71.4,42.5,15.4,28.95,1,0.09,1132
2563,นนทบุรี,24,110,1704.2,72.9,40,18.3,29.15,3,0.4,746
2563,นราธิวาส,25,163,3019.4,77.5,37,18.5,27.75,2,0.08,2513
2563,น่าน,26,101,1213.2,72.5,42.5,10,26.25,0,0,278
2563,บึงกาฬ,27,112,1297.2,70,40.2,10.9,25.55,0,0,840
2563,บุรีรัมย์,28,113,1266,75.7,40.2,12.6,26.4,0,0,3510
2563,ปทุมธานี,29,119,1500.3,76,41.2,18.4,29.8,3,0.37,802
2563,ประจวบคีรีขันธ์,30,100,969.8,75.2,39.5,19.5,29.5,1,0.19,534
2563,ปราจีนบุรี,31,122,1529.7,69.9,40.3,18.4,29.35,0,0,443
2563,ปัตตานี,32,159,2357.8,83.7,38.9,20.8,29.85,0,0,1559
2563,พระนครศรีอยุธยา,33,86,1093.4,72.6,40.4,17,28.7,2,0.19,1046
2563,พะเยา,34,86,811.9,75.3,40,7.2,23.6,0,0,184
2563,พังงา,35,160,2060.2,82.9,39.5,18.7,29.1,0,0,421
2563,พัทลุง,36,174,2286.2,81.7,39,21.5,30.25,0,0,1169
2563,พิจิตร,37,109,692.7,74.4,41.5,16.4,28.95,0,0,399
2563,พิษณุโลก,38,109,1148.6,72,41.5,14.9,28.2,3,0.35,862
2563,เพชรบุรี,39,84,914.5,76,38.4,18.3,28.35,1,0.23,441
2563,เพชรบูรณ์,40,97,939.4,69.1,42.6,14.5,28.55,1,0.05,1957
2563,แพร่,41,91,1370.9,73,43,9.2,26.1,0,0,221
2563,ภูเก็ต,42,178,2565,75.4,39.2,23.4,31.3,1,0.2,510
2563,มหาสารคาม,43,98,1265.2,69.7,43.3,12.5,27.9,1,0.04,2509
2563,มุกดาหาร,44,105,1166,70.5,41.6,13.2,27.4,0,0,290
2563,แม่ฮ่องสอน,45,117,977.6,73,43.2,8.2,25.7,0,0,624
2563,ยโสธร,46,110,1287.4,70,41.3,13,27.15,0,0,456
2563,ยะลา,47,180,3177.9,81,38.9,18.6,28.75,4,0.31,1308
2563,ร้อยเอ็ด,48,110,1287.4,70,41.3,13,27.15,0,0,1949
2563,ระนอง,49,176,3041.8,78.5,37.2,20,28.6,0,0,367
2563,ระยอง,50,143,1710,76.9,35,18.6,26.8,0,0,1155
2563,ราชบุรี,51,102,1108,76.9,40,17.9,28.95,0,0,1176
2563,ลพบุรี,52,87,904.4,68.4,36.5,18,27.25,2,0.12,1606
2563,ลำปาง,53,93,951.4,69,43.1,8.5,25.8,1,0.21,479
2563,ลำพูน,54,91,1061.8,69.5,42.2,9,25.6,3,0.44,676
2563,เลย,55,111,1121.8,69.3,43.4,11.4,27.4,0,0,1256
2563,ศรีสะเกษ,56,98,1572.4,73.4,40.5,14,27.25,0,0,1481
2563,สกลนคร,57,118,1284.6,71.2,40.5,11.5,26,0,0,1712
2563,สงขลา,58,173,2764.2,76.8,36.9,22.8,29.85,1,0.05,1849
2563,สตูล,59,189,2430.1,78,36.4,20.5,28.45,0,0,539
2563,สมุทรปราการ,60,113,1534.3,74.3,36.5,19.1,27.8,1,0.08,1315
2563,สมุทรสงคราม,61,113,1534.3,74.3,36.5,19.1,27.8,0,0,135
2563,สมุทรสาคร,62,113,1534.3,74.3,36.5,19.1,27.8,1,0.15,667
2563,สระแก้ว,63,117,1531.2,77.9,40,15.3,27.65,2,0.19,1059
2563,สระบุรี,64,87,904.4,68.4,36.5,18,27.25,1,0.09,1068
2563,สิงห์บุรี,65,87,904.4,68.4,36.5,18,27.25,4,0.51,790
2563,สุโขทัย,66,85,841.5,74.2,42.5,14.1,28.3,0,0,620
2563,สุพรรณบุรี,67,79,850.8,71.4,41,17.3,29.15,1,0.08,1238
2563,สุราษฎร์ธานี,68,160,2060.2,82.9,39.5,18.7,29.1,1,0.04,2490
2563,สุรินทร์,69,110,1391.2,69.4,40.8,11.1,25.95,0,0,2834
2563,หนองคาย,70,116,1954.6,70.6,41.5,14.2,27.85,1,0.14,733
2563,หนองบัวลำภู,71,107,1121,70.2,43.4,11.4,27.4,0,0,743
2563,อ่างทอง,72,87,904.4,68.4,36.5,18,27.25,0,0,997
2563,อำนาจเจริญ,73,111,964.5,68.5,40.6,12.8,26.7,0,0,409
2563,อุดรธานี,74,100,1217.8,69.6,42.5,12.1,27.3,1,0.04,2450
2563,อุตรดิตถ์,75,86,1086.1,67.5,43,14,28.5,1,0.17,575
2563,อุทัยธานี,76,92,803.8,71.4,42.5,15.4,28.95,0,0,621
2563,อุบลราชธานี,77,111,1595.1,68.5,40.6,14.2,27.4,3,0.14,2092
