,year,Province,AgeGroup,ag_0-4,ag_10-14,ag_15-24,ag_25-34,ag_35-59,ag_5-9,ag_60,patient_count
315,2016,Phra Nakhon Si Ayutthaya,0-4,1,0,0,0,0,0,0,62
316,2016,Phra Nakhon Si Ayutthaya,10-14,0,1,0,0,0,0,0,146
317,2016,Phra Nakhon Si Ayutthaya,15-24,0,0,1,0,0,0,0,246
318,2016,Phra Nakhon Si Ayutthaya,25-34,0,0,0,1,0,0,0,226
319,2016,Phra Nakhon Si Ayutthaya,35-59,0,0,0,0,1,0,0,206
320,2016,Phra Nakhon Si Ayutthaya,5-9,0,0,0,0,0,1,0,128
321,2016,Phra Nakhon Si Ayutthaya,60,0,0,0,0,0,0,1,56
322,2016,Phrae,0-4,1,0,0,0,0,0,0,10
323,2016,Phrae,10-14,0,1,0,0,0,0,0,32
324,2016,Phrae,15-24,0,0,1,0,0,0,0,72
325,2016,Phrae,25-34,0,0,0,1,0,0,0,32
326,2016,Phrae,35-59,0,0,0,0,1,0,0,48
327,2016,Phrae,5-9,0,0,0,0,0,1,0,26
328,2016,Phrae,60,0,0,0,0,0,0,1,14
329,2016,Phuket,0-4,1,0,0,0,0,0,0,52
330,2016,Phuket,10-14,0,1,0,0,0,0,0,120
331,2016,Phuket,15-24,0,0,1,0,0,0,0,254
332,2016,Phuket,25-34,0,0,0,1,0,0,0,264
333,2016,Phuket,35-59,0,0,0,0,1,0,0,200
334,2016,Phuket,5-9,0,0,0,0,0,1,0,94
335,2016,Phuket,60,0,0,0,0,0,0,1,16
336,2016,Prachin Buri,0-4,1,0,0,0,0,0,0,36
337,2016,Prachin Buri,10-14,0,1,0,0,0,0,0,90
338,2016,Prachin Buri,15-24,0,0,1,0,0,0,0,148
339,2016,Prachin Buri,25-34,0,0,0,1,0,0,0,108
340,2016,Prachin Buri,35-59,0,0,0,0,1,0,0,76
341,2016,Prachin Buri,5-9,0,0,0,0,0,1,0,98
342,2016,Prachin Buri,60,0,0,0,0,0,0,1,22
343,2016,Prachuap Khiri Khan,0-4,1,0,0,0,0,0,0,44
344,2016,Prachuap Khiri Khan,10-14,0,1,0,0,0,0,0,132
345,2016,Prachuap Khiri Khan,15-24,0,0,1,0,0,0,0,162
346,2016,Prachuap Khiri Khan,25-34,0,0,0,1,0,0,0,70
347,2016,Prachuap Khiri Khan,35-59,0,0,0,0,1,0,0,80
348,2016,Prachuap Khiri Khan,5-9,0,0,0,0,0,1,0,138
349,2016,Prachuap Khiri Khan,60,0,0,0,0,0,0,1,12
350,2016,Ranong,0-4,1,0,0,0,0,0,0,22
351,2016,Ranong,10-14,0,1,0,0,0,0,0,22
